,ZipCode,TotalHousingUnits,OccupiedHousingUnits,VacantHousingUnits,OwnerOccupied,RenterOccupied,OwnerOccupiedHouseholdSize,RenterOccupiedHouseholdSize,VehiclesAvailable,NoVehiclesAvailable,WithMortgage,WithoutMortgage
129,00982,7459,5804,1655,3767,2037,2.41,2.48,5804,729,1897,1870
130,00983,16066,12664,3402,8462,4202,2.68,2.38,12664,1479,4916,3546
131,00985,14389,12105,2284,8506,3599,2.62,2.71,12105,1939,4078,4428
132,00987,23961,20202,3759,15017,5185,2.74,2.62,20202,1905,8264,6753
133,01001,7069,6791,278,4936,1855,2.48,1.84,6791,695,3023,1913
134,01002,11301,9985,1316,4763,5222,2.48,2.30,9985,1314,2615,2148
135,01003,84,15,69,0,15,-,2.13,15,0,0,0
136,01005,1983,1761,222,1711,50,2.66,3.54,1761,18,1280,431
137,01007,6237,5917,320,4964,953,2.74,1.77,5917,254,3450,1514
138,01008,617,506,111,474,32,2.33,2.03,506,3,344,130
139,01009,399,333,66,295,38,2.39,2.47,333,49,250,45
140,01010,1698,1503,195,1336,167,2.54,1.87,1503,25,902,434
141,01011,651,498,153,393,105,2.50,3.18,498,18,268,125
142,01012,279,227,52,180,47,2.23,2.17,227,16,108,72
143,01013,10348,9375,973,4753,4622,2.51,2.20,9375,1375,3100,1653
144,01020,13964,13400,564,8221,5179,2.39,2.12,13400,1239,4858,3363
145,01022,1098,1082,16,762,320,1.45,2.29,1082,33,503,259
146,01026,559,454,105,369,85,2.51,1.72,454,20,192,177
147,01027,8977,8451,526,5456,2995,2.33,1.64,8451,523,3499,1957
148,01028,6294,6017,277,5094,923,2.85,1.60,6017,470,3330,1764
149,01029,995,228,767,199,29,2.21,2.45,228,0,114,85
150,01030,5173,4994,179,3987,1007,2.74,1.68,4994,263,2906,1081
151,01031,659,608,51,361,247,2.76,2.34,608,46,256,105
152,01032,317,198,119,180,18,2.24,1.50,198,7,111,69
153,01033,2618,2530,88,2206,324,2.57,1.33,2530,99,1624,582
154,01034,1199,830,369,779,51,2.41,2.22,830,4,530,249
155,01035,2306,2254,52,1724,530,2.39,1.98,2254,100,983,741
156,01036,2118,2016,102,1906,110,2.45,2.10,2016,55,1101,805
157,01037,274,257,17,225,32,2.16,4.16,257,0,45,180
158,01038,1150,1111,39,821,290,2.51,1.83,1111,67,460,361
159,01039,721,709,12,580,129,2.49,1.76,709,15,356,224
160,01040,16731,15062,1669,5962,9100,2.57,2.42,15062,3111,3878,2084
161,01050,1235,1072,163,878,194,2.48,2.13,1072,28,549,329
162,01053,748,712,36,561,151,2.46,1.19,712,57,388,173
163,01054,776,708,68,623,85,2.46,2.86,708,7,332,291
164,01056,9000,8567,433,6339,2228,2.46,2.06,8567,448,3911,2428
165,01057,3726,3485,241,2884,601,2.46,1.88,3485,156,1863,1021
166,01060,7493,7060,433,3311,3749,2.33,1.79,7060,912,2004,1307
167,01062,4474,4162,312,3121,1041,2.47,1.69,4162,273,1987,1134
168,01063,23,5,18,0,5,-,-,5,0,0,0
169,01066,64,34,30,34,0,1.50,-,34,0,8,26
170,01068,667,625,42,575,50,2.53,3.14,625,12,365,210
171,01069,3916,3732,184,2755,977,2.45,2.06,3732,259,1714,1041
172,01070,342,258,84,225,33,2.48,1.79,258,0,136,89
173,01071,598,518,80,465,53,2.50,2.15,518,0,279,186
174,01072,731,609,122,541,68,2.24,2.40,609,24,372,169
175,01073,2356,2318,38,2085,233,2.79,1.47,2318,17,1271,814
176,01074,250,157,93,41,116,2.24,4.24,157,41,23,18
